game_id,sport,season,season_type,date,as_of_date,away_team_id,home_team_id,status,away_common_opponents,home_common_opponents,away_games_played,home_games_played,away_head_to_head,home_head_to_head,home_advantage,away_last10_form,home_last10_form,away_season_scoring,home_season_scoring,away_travel_km,home_travel_km,away_head_to_head_games,away_head_to_head_avg_scored,away_head_to_head_avg_allowed,home_head_to_head_games,home_head_to_head_avg_scored,home_head_to_head_avg_allowed,away_last10_form_wins,away_last10_form_losses,away_last10_form_otl,away_last10_form_l10_pct,home_last10_form_wins,home_last10_form_losses,home_last10_form_otl,home_last10_form_l10_pct,away_season_scoring_spg,away_season_scoring_sapg,away_season_scoring_gp,home_season_scoring_spg,home_season_scoring_sapg,home_season_scoring_gp,away_common_opponents_opponents,away_common_opponents_games,away_common_opponents_wrf,away_common_opponents_wra,home_common_opponents_opponents,home_common_opponents_games,home_common_opponents_wrf,home_common_opponents_wra,final_away,final_home,actual_total,actual_margin,winner,feature_versions
823244,MLB,2026,regular,2026-03-25,2026-03-25,mlb-nyy,mlb-sf,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,-7,mlb-nyy,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823081,MLB,2026,regular,2026-03-26,2026-03-26,mlb-tb,mlb-stl,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,16,2,mlb-stl,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823163,MLB,2026,regular,2026-03-26,2026-03-26,mlb-cle,mlb-sea,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,10,-2,mlb-cle,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823325,MLB,2026,regular,2026-03-26,2026-03-26,mlb-det,mlb-sd,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,10,-6,mlb-det,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823486,MLB,2026,regular,2026-03-26,2026-03-26,mlb-tex,mlb-phi,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,2,mlb-phi,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823649,MLB,2026,regular,2026-03-26,2026-03-26,mlb-pit,mlb-nym,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,18,4,mlb-nym,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823812,MLB,2026,regular,2026-03-26,2026-03-26,mlb-cws,mlb-mil,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,16,12,mlb-mil,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823974,MLB,2026,regular,2026-03-26,2026-03-26,mlb-ari,mlb-lad,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,10,6,mlb-lad,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824218,MLB,2026,regular,2026-03-26,2026-03-26,mlb-laa,mlb-hou,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,-3,mlb-laa,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824541,MLB,2026,regular,2026-03-26,2026-03-26,mlb-bos,mlb-cin,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,-3,mlb-bos,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824704,MLB,2026,regular,2026-03-26,2026-03-26,mlb-wsh,mlb-chc,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,14,-6,mlb-wsh,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824865,MLB,2026,regular,2026-03-26,2026-03-26,mlb-min,mlb-bal,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,mlb-bal,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
822839,MLB,2026,regular,2026-03-27,2026-03-27,mlb-ath,mlb-tor,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,1,mlb-tor,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823162,MLB,2026,regular,2026-03-27,2026-03-27,mlb-cle,mlb-sea,final,,,1,1,,,0.35,,,,,0.0,0.0,1,6.0,4.0,1,4.0,6.0,1,0,0,1.0,0,1,0,0.0,6.0,4.0,1,4.0,6.0,1,,,,,,,,,1,5,6,4,mlb-sea,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823243,MLB,2026,regular,2026-03-27,2026-03-27,mlb-nyy,mlb-sf,final,,,1,1,,,0.35,,,,,0.0,0.0,1,7.0,0.0,1,0.0,7.0,1,0,0,1.0,0,1,0,0.0,7.0,0.0,1,0.0,7.0,1,,,,,,,,,3,0,3,-3,mlb-nyy,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823324,MLB,2026,regular,2026-03-27,2026-03-27,mlb-det,mlb-sd,final,,,1,1,,,0.35,,,,,0.0,0.0,1,8.0,2.0,1,2.0,8.0,1,0,0,1.0,0,1,0,0.0,8.0,2.0,1,2.0,8.0,1,,,,,,,,,5,2,7,-3,mlb-det,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823893,MLB,2026,regular,2026-03-27,2026-03-27,mlb-col,mlb-mia,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,mlb-mia,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823971,MLB,2026,regular,2026-03-27,2026-03-27,mlb-ari,mlb-lad,final,,,1,1,,,0.35,,,,,0.0,0.0,1,2.0,8.0,1,8.0,2.0,0,1,0,0.0,1,0,0,1.0,2.0,8.0,1,8.0,2.0,1,,,,,,,,,4,5,9,1,mlb-lad,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824216,MLB,2026,regular,2026-03-27,2026-03-27,mlb-laa,mlb-hou,final,,,1,1,,,0.35,,,,,0.0,0.0,1,3.0,0.0,1,0.0,3.0,1,0,0,1.0,0,1,0,0.0,3.0,0.0,1,0.0,3.0,1,,,,,,,,,6,2,8,-4,mlb-laa,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
824946,MLB,2026,regular,2026-03-27,2026-03-27,mlb-kc,mlb-atl,final,,,0,0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,mlb-atl,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
822838,MLB,2026,regular,2026-03-28,2026-03-28,mlb-ath,mlb-tor,final,,,1,1,,,0.35,,,,,0.0,0.0,1,2.0,3.0,1,3.0,2.0,0,1,0,0.0,1,0,0,1.0,2.0,3.0,1,3.0,2.0,1,,,,,,,,,7,8,15,1,mlb-tor,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823082,MLB,2026,regular,2026-03-28,2026-03-28,mlb-tb,mlb-stl,final,,,1,1,,,0.35,,,,,0.0,0.0,1,7.0,9.0,1,9.0,7.0,0,1,0,0.0,1,0,0,1.0,7.0,9.0,1,9.0,7.0,1,,,,,,,,,5,6,11,1,mlb-stl,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823161,MLB,2026,regular,2026-03-28,2026-03-28,mlb-cle,mlb-sea,final,,,2,2,,,0.35,,,,,0.0,0.0,2,3.5,4.5,2,4.5,3.5,1,1,0,0.5,1,1,0,0.5,3.5,4.5,2,4.5,3.5,2,,,,,,,,,6,5,11,-1,mlb-cle,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823241,MLB,2026,regular,2026-03-28,2026-03-28,mlb-nyy,mlb-sf,final,,,2,2,,,0.35,,,,,0.0,0.0,2,5.0,0.0,2,0.0,5.0,2,0,0,1.0,0,2,0,0.0,5.0,0.0,2,0.0,5.0,2,,,,,,,,,3,1,4,-2,mlb-nyy,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823323,MLB,2026,regular,2026-03-28,2026-03-28,mlb-det,mlb-sd,final,,,2,2,,,0.35,,,,,0.0,0.0,2,6.5,2.0,2,2.0,6.5,2,0,0,1.0,0,2,0,0.0,6.5,2.0,2,2.0,6.5,2,,,,,,,,,0,3,3,3,mlb-sd,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823488,MLB,2026,regular,2026-03-28,2026-03-28,mlb-tex,mlb-phi,final,,,1,1,,,0.35,,,,,0.0,0.0,1,3.0,5.0,1,5.0,3.0,0,1,0,0.0,1,0,0,1.0,3.0,5.0,1,5.0,3.0,1,,,,,,,,,5,4,9,-1,mlb-tex,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823651,MLB,2026,regular,2026-03-28,2026-03-28,mlb-pit,mlb-nym,final,,,1,1,,,0.35,,,,,0.0,0.0,1,7.0,11.0,1,11.0,7.0,0,1,0,0.0,1,0,0,1.0,7.0,11.0,1,11.0,7.0,1,,,,,,,,,2,4,6,2,mlb-nym,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
823811,MLB,2026,regular,2026-03-28,2026-03-28,mlb-cws,mlb-mil,final,,,1,1,,,0.35,,,,,0.0,0.0,1,2.0,14.0,1,14.0,2.0,0,1,0,0.0,1,0,0,1.0,2.0,14.0,1,14.0,2.0,1,,,,,,,,,1,6,7,5,mlb-mil,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
