game_id,sport,season,season_type,date,as_of_date,away_team_id,home_team_id,status,away_common_opponents,home_common_opponents,away_games_played,home_games_played,away_head_to_head,home_head_to_head,home_advantage,away_last10_form,home_last10_form,away_season_scoring,home_season_scoring,away_travel_km,home_travel_km,away_last10_form_wins,away_last10_form_losses,away_last10_form_otl,away_last10_form_l10_pct,away_season_scoring_spg,away_season_scoring_sapg,away_season_scoring_gp,home_last10_form_wins,home_last10_form_losses,home_last10_form_otl,home_last10_form_l10_pct,home_season_scoring_spg,home_season_scoring_sapg,home_season_scoring_gp,away_common_opponents_opponents,away_common_opponents_games,away_common_opponents_wrf,away_common_opponents_wra,home_common_opponents_opponents,home_common_opponents_games,home_common_opponents_wrf,home_common_opponents_wra,away_head_to_head_games,away_head_to_head_avg_scored,away_head_to_head_avg_allowed,home_head_to_head_games,home_head_to_head_avg_scored,home_head_to_head_avg_allowed,final_away,final_home,actual_total,actual_margin,winner,feature_versions
2025010101,NHL,20252026,preseason,2025-09-20,2025-09-20,nhl-stl,nhl-dal,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,nhl-dal,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010001,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-ana,nhl-lak,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,nhl-lak,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010002,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-cgy,nhl-edm,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,-1,nhl-cgy,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010003,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-edm,nhl-cgy,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,-3,nhl-edm,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010004,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-fla,nhl-nsh,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,nhl-nsh,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010005,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-fla,nhl-nsh,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,2,nhl-nsh,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010006,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-min,nhl-wpg,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,-1,nhl-min,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010007,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-nyr,nhl-njd,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,8,-2,nhl-nyr,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010008,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-phi,nhl-nyi,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,-1,nhl-phi,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
2025010009,NHL,20252026,preseason,2025-09-21,2025-09-21,nhl-stl,nhl-cbj,final,,,0,0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,nhl-cbj,"{""common_opponents"": 1, ""games_played"": 1, ""head_to_head"": 1, ""home_advantage"": 1, ""last10_form"": 1, ""season_scoring"": 1, ""travel_km"": 1}"
