game_id,season,season_type,date,start_time_utc,status,away_team_id,home_team_id,away_abbrev,home_abbrev,away_score,home_score,venue,ot,doubleheader,game_number
823244,2026,regular,2026-03-25,2026-03-26T00:05:00Z,final,mlb-nyy,mlb-sf,NYY,SF,7,0,Oracle Park,,N,1
823649,2026,regular,2026-03-26,2026-03-26T17:15:00Z,final,mlb-pit,mlb-nym,PIT,NYM,7,11,Citi Field,,N,1
823812,2026,regular,2026-03-26,2026-03-26T18:10:00Z,final,mlb-cws,mlb-mil,CWS,MIL,2,14,American Family Field,,N,1
824704,2026,regular,2026-03-26,2026-03-26T18:20:00Z,final,mlb-wsh,mlb-chc,WSH,CHC,10,4,Wrigley Field,,N,1
824865,2026,regular,2026-03-26,2026-03-26T19:05:00Z,final,mlb-min,mlb-bal,MIN,BAL,1,2,Oriole Park at Camden Yards,,N,1
823325,2026,regular,2026-03-26,2026-03-26T20:10:00Z,final,mlb-det,mlb-sd,DET,SD,8,2,Petco Park,,N,1
824218,2026,regular,2026-03-26,2026-03-26T20:10:00Z,final,mlb-laa,mlb-hou,LAA,HOU,3,0,Daikin Park,,N,1
824541,2026,regular,2026-03-26,2026-03-26T20:10:00Z,final,mlb-bos,mlb-cin,BOS,CIN,3,0,Great American Ball Park,,N,1
823081,2026,regular,2026-03-26,2026-03-26T20:15:00Z,final,mlb-tb,mlb-stl,TB,STL,7,9,Busch Stadium,,N,1
823486,2026,regular,2026-03-26,2026-03-26T20:15:00Z,final,mlb-tex,mlb-phi,TEX,PHI,3,5,Citizens Bank Park,,N,1
823974,2026,regular,2026-03-26,2026-03-27T00:30:00Z,final,mlb-ari,mlb-lad,ARI,LAD,2,8,UNIQLO Field at Dodger Stadium,,N,1
823163,2026,regular,2026-03-26,2026-03-27T02:10:00Z,final,mlb-cle,mlb-sea,CLE,SEA,6,4,T-Mobile Park,,N,1
823243,2026,regular,2026-03-27,2026-03-27T20:35:00Z,final,mlb-nyy,mlb-sf,NYY,SF,3,0,Oracle Park,,N,1
822839,2026,regular,2026-03-27,2026-03-27T23:07:00Z,final,mlb-ath,mlb-tor,ATH,TOR,2,3,Rogers Centre,,N,1
823893,2026,regular,2026-03-27,2026-03-27T23:10:00Z,final,mlb-col,mlb-mia,COL,MIA,1,2,loanDepot park,,N,1
824946,2026,regular,2026-03-27,2026-03-27T23:15:00Z,final,mlb-kc,mlb-atl,KC,ATL,0,6,Truist Park,,N,1
824216,2026,regular,2026-03-27,2026-03-28T00:15:00Z,final,mlb-laa,mlb-hou,LAA,HOU,6,2,Daikin Park,,N,1
823324,2026,regular,2026-03-27,2026-03-28T01:40:00Z,final,mlb-det,mlb-sd,DET,SD,5,2,Petco Park,,N,1
823162,2026,regular,2026-03-27,2026-03-28T01:45:00Z,final,mlb-cle,mlb-sea,CLE,SEA,1,5,T-Mobile Park,,N,1
823971,2026,regular,2026-03-27,2026-03-28T02:10:00Z,final,mlb-ari,mlb-lad,ARI,LAD,4,5,UNIQLO Field at Dodger Stadium,,N,1
823082,2026,regular,2026-03-28,2026-03-28T18:15:00Z,final,mlb-tb,mlb-stl,TB,STL,5,6,Busch Stadium,,N,1
824701,2026,regular,2026-03-28,2026-03-28T18:20:00Z,final,mlb-wsh,mlb-chc,WSH,CHC,2,10,Wrigley Field,,N,1
822838,2026,regular,2026-03-28,2026-03-28T19:07:00Z,final,mlb-ath,mlb-tor,ATH,TOR,7,8,Rogers Centre,,N,1
823488,2026,regular,2026-03-28,2026-03-28T20:05:00Z,final,mlb-tex,mlb-phi,TEX,PHI,5,4,Citizens Bank Park,,N,1
824862,2026,regular,2026-03-28,2026-03-28T20:05:00Z,final,mlb-min,mlb-bal,MIN,BAL,4,1,Oriole Park at Camden Yards,,N,1
823651,2026,regular,2026-03-28,2026-03-28T20:10:00Z,final,mlb-pit,mlb-nym,PIT,NYM,2,4,Citi Field,,N,1
823892,2026,regular,2026-03-28,2026-03-28T20:10:00Z,final,mlb-col,mlb-mia,COL,MIA,3,4,loanDepot park,,N,1
824540,2026,regular,2026-03-28,2026-03-28T20:10:00Z,final,mlb-bos,mlb-cin,BOS,CIN,5,6,Great American Ball Park,,N,1
823811,2026,regular,2026-03-28,2026-03-28T23:10:00Z,final,mlb-cws,mlb-mil,CWS,MIL,1,6,American Family Field,,N,1
824213,2026,regular,2026-03-28,2026-03-28T23:10:00Z,final,mlb-laa,mlb-hou,LAA,HOU,9,11,Daikin Park,,N,1
823241,2026,regular,2026-03-28,2026-03-28T23:15:00Z,final,mlb-nyy,mlb-sf,NYY,SF,3,1,Oracle Park,,N,1
824945,2026,regular,2026-03-28,2026-03-28T23:15:00Z,final,mlb-kc,mlb-atl,KC,ATL,2,6,Truist Park,,N,1
823323,2026,regular,2026-03-28,2026-03-29T00:40:00Z,final,mlb-det,mlb-sd,DET,SD,0,3,Petco Park,,N,1
823973,2026,regular,2026-03-28,2026-03-29T01:10:00Z,final,mlb-ari,mlb-lad,ARI,LAD,2,3,UNIQLO Field at Dodger Stadium,,N,1
823161,2026,regular,2026-03-28,2026-03-29T01:40:00Z,final,mlb-cle,mlb-sea,CLE,SEA,6,5,T-Mobile Park,,N,1
823487,2026,regular,2026-03-29,2026-03-29T17:35:00Z,final,mlb-tex,mlb-phi,TEX,PHI,8,3,Citizens Bank Park,,N,1
824864,2026,regular,2026-03-29,2026-03-29T17:35:00Z,final,mlb-min,mlb-bal,MIN,BAL,6,8,Oriole Park at Camden Yards,,N,1
824944,2026,regular,2026-03-29,2026-03-29T17:35:00Z,final,mlb-kc,mlb-atl,KC,ATL,4,1,Truist Park,,N,1
822837,2026,regular,2026-03-29,2026-03-29T17:37:00Z,final,mlb-ath,mlb-tor,ATH,TOR,2,5,Rogers Centre,,N,1
823647,2026,regular,2026-03-29,2026-03-29T17:40:00Z,final,mlb-pit,mlb-nym,PIT,NYM,4,3,Citi Field,,N,1
