team_id,sport,name,abbrev,conference,division,external_ids,venue_name,venue_lat,venue_lon,timezone,active
nfl-buf,NFL,Buffalo Bills,BUF,AFC,East,"{""espn"":2}",Highmark Stadium,42.7738,-78.7870,America/New_York,1
nfl-mia,NFL,Miami Dolphins,MIA,AFC,East,"{""espn"":15}",Hard Rock Stadium,25.9580,-80.2389,America/New_York,1
nfl-ne,NFL,New England Patriots,NE,AFC,East,"{""espn"":17}",Gillette Stadium,42.0909,-71.2643,America/New_York,1
nfl-nyj,NFL,New York Jets,NYJ,AFC,East,"{""espn"":20}",MetLife Stadium,40.8135,-74.0745,America/New_York,1
nfl-bal,NFL,Baltimore Ravens,BAL,AFC,North,"{""espn"":33}",M&T Bank Stadium,39.2780,-76.6227,America/New_York,1
nfl-cin,NFL,Cincinnati Bengals,CIN,AFC,North,"{""espn"":4}",Paycor Stadium,39.0955,-84.5161,America/New_York,1
nfl-cle,NFL,Cleveland Browns,CLE,AFC,North,"{""espn"":5}",Huntington Bank Field,41.5061,-81.6995,America/New_York,1
nfl-pit,NFL,Pittsburgh Steelers,PIT,AFC,North,"{""espn"":23}",Acrisure Stadium,40.4468,-80.0158,America/New_York,1
nfl-hou,NFL,Houston Texans,HOU,AFC,South,"{""espn"":34}",NRG Stadium,29.6847,-95.4107,America/Chicago,1
nfl-ind,NFL,Indianapolis Colts,IND,AFC,South,"{""espn"":11}",Lucas Oil Stadium,39.7601,-86.1639,America/Indiana/Indianapolis,1
nfl-jax,NFL,Jacksonville Jaguars,JAX,AFC,South,"{""espn"":30}",EverBank Stadium,30.3239,-81.6373,America/New_York,1
nfl-ten,NFL,Tennessee Titans,TEN,AFC,South,"{""espn"":10}",Nissan Stadium,36.1665,-86.7713,America/Chicago,1
nfl-den,NFL,Denver Broncos,DEN,AFC,West,"{""espn"":7}",Empower Field at Mile High,39.7439,-105.0201,America/Denver,1
nfl-kc,NFL,Kansas City Chiefs,KC,AFC,West,"{""espn"":12}",GEHA Field at Arrowhead Stadium,39.0489,-94.4839,America/Chicago,1
nfl-lv,NFL,Las Vegas Raiders,LV,AFC,West,"{""espn"":13}",Allegiant Stadium,36.0909,-115.1833,America/Los_Angeles,1
nfl-lac,NFL,Los Angeles Chargers,LAC,AFC,West,"{""espn"":24}",SoFi Stadium,33.9535,-118.3392,America/Los_Angeles,1
nfl-dal,NFL,Dallas Cowboys,DAL,NFC,East,"{""espn"":6}",AT&T Stadium,32.7478,-97.0929,America/Chicago,1
nfl-nyg,NFL,New York Giants,NYG,NFC,East,"{""espn"":19}",MetLife Stadium,40.8135,-74.0745,America/New_York,1
nfl-phi,NFL,Philadelphia Eagles,PHI,NFC,East,"{""espn"":21}",Lincoln Financial Field,39.9008,-75.1675,America/New_York,1
nfl-wsh,NFL,Washington Commanders,WSH,NFC,East,"{""espn"":28}",Northwest Stadium,38.9077,-76.8645,America/New_York,1
nfl-chi,NFL,Chicago Bears,CHI,NFC,North,"{""espn"":3}",Soldier Field,41.8623,-87.6167,America/Chicago,1
nfl-det,NFL,Detroit Lions,DET,NFC,North,"{""espn"":8}",Ford Field,42.3400,-83.0456,America/Detroit,1
nfl-gb,NFL,Green Bay Packers,GB,NFC,North,"{""espn"":9}",Lambeau Field,44.5013,-88.0622,America/Chicago,1
nfl-min,NFL,Minnesota Vikings,MIN,NFC,North,"{""espn"":16}",U.S. Bank Stadium,44.9738,-93.2577,America/Chicago,1
nfl-atl,NFL,Atlanta Falcons,ATL,NFC,South,"{""espn"":1}",Mercedes-Benz Stadium,33.7554,-84.4009,America/New_York,1
nfl-car,NFL,Carolina Panthers,CAR,NFC,South,"{""espn"":29}",Bank of America Stadium,35.2258,-80.8528,America/New_York,1
nfl-no,NFL,New Orleans Saints,NO,NFC,South,"{""espn"":18}",Caesars Superdome,29.9511,-90.0812,America/Chicago,1
